X (m),Y (m),Z (m)
0.9375603795713983,0.5387958214327228,-0.02609870274471282
0.9823795540403779,0.5645524387665202,0.06315985936762564
1.018682518984183,0.5854149733227294,0.15742598284314868
1.0460545127545877,0.6011450704867312,0.2556226765103326
1.0641828101163657,0.6115630137798138,0.35662804240357515
1.0728602951354616,0.6165497781212967,0.45928809345591276
1.0719878274801002,0.6160483896909763,0.5624299378099629
1.0615753750998225,0.6100645768554495,0.664875179116236
1.0417419003415884,0.5986667047214829,0.7654533797203182
1.0127140008040656,0.5819849940641532,0.863015432921895
0.9748233204583555,0.5602100335535094,0.9564466915274702
0.9285027606131235,0.5335906022775797,1.0446797027029544
0.8742815340138833,0.5024308274394167,1.1267064036303447
0.8127791185833866,0.4670867097015067,1.2015896386330214
0.7446981798816875,0.42796205587551883,1.2684738661864206
0.6708165431468189,0.3855038654264352,1.3265949334864018
0.591978306635583,0.3401972235002937,1.3752888069008007
0.5090841977946013,0.2925597588227359,1.41399915855868
0.42308128244244747,0.24313572978691433,1.4422837224004519
0.33495214453552674,0.19248980629724638,1.4598193470709442
0.2457036601389655,0.14120061841149825,1.4664056879260685
0.15635549385997394,0.0898541454880115,1.461967495971891
0.0679284491720222,0.039037021367116634,1.446555477584954
-0.018567194272544024,-0.010670167924917592,1.420345715191543
-0.1021432230951484,-0.058699517375611646,1.383637655524638
-0.18184478053628567,-0.1045022913053249,1.3368506884427314
-0.25676127570119944,-0.1475551926765335,1.2805193553975323
-0.32603678706772143,-0.18736634176643024,1.2152872422938497
-0.3888798413961152,-0.22348089589646597,1.1418996265157768
-0.44457245631680936,-0.25548624601338255,1.0611949621269596
-0.4924783432843838,-0.28301673075075706,0.974095300526596
-0.5320501771789986,-0.30575781411287084,0.8815957560052464
-0.5628358495000155,-0.3234496790508322,0.7847531365565623
-0.5844836337090268,-0.33589019587431884,0.6846738698379887
-0.5967462037082085,-0.3429372315848145,0.5825013622264356
-0.5994834595428545,-0.3445102737461884,0.4794029353917989
-0.5926641280444134,-0.3405913503398855,0.3765564896380801
-0.5763661201266761,-0.3312252350953733,0.2751370463835309
-0.5507756406529981,-0.3165189359499458,0.17630332353209183
-0.5161850610443324,-0.2966404724822329,0.08118449711259644
-0.4729895789335379,-0.2718169562872468,-0.009132699565865765
-0.42168270302944766,-0.2423319962246976,-0.09361639185020577
-0.36285061477614655,-0.2085224581856322,-0.17130135291902215
-0.29716547122555304,-0.1707746163970883,-0.24130003150631923
-0.22537772563803316,-0.12951974023613855,-0.3028126921814105
-0.14830755354824143,-0.08522916697400512,-0.3551365523322458
-0.0668354822534527,-0.038408916744181745,-0.3976738114620524
0.018107669217448115,0.010406088741406663,-0.42993848106451893
0.10555142471838985,0.06065813767699653,-0.4515619370461451
0.19449673868340286,0.11177310002457201,-0.4622971312592882
0.9522004207680052,0.5472091387978834,0.05033727952651071
0.9921677928000738,0.5701775294356894,0.14261032462247605
1.0233677044907095,0.5881074488459671,0.2392764311301876
1.0454436966135823,0.6007940475642526,0.33923118805388175
1.0581435507922246,0.6080923811045258,0.44133261154199427
1.0613221710968814,0.6099190659510562,0.5444141920612751
1.0549432417666038,0.6062532322156979,0.6472982217770032
1.0390796421170911,0.5971367620765199,0.7488092498738764
1.0139126138939583,0.5826738112736047,0.8477875120904421
0.9797296905844267,0.5630296191289342,0.9431021810345279
0.9369214123450659,0.5384286206858889,1.0336642858947256
0.8859768640775562,0.5091518825371845,1.1184391539401222
0.8274780876300036,0.47553389163693227,1.1964582316640515
0.762093431964432,0.4379587337846645,1.2668301505152135
0.690569917264855,0.39685570544217963,1.3287509107900926
0.6137247002260403,0.3526944090182291,1.3815130673356333
0.5324357380321092,0.30597938765745586,1.4245138121154488
0.44763175768908836,0.2572443608311619,1.4572618612961814
0.36028164531186324,0.2070461265883255,1.4793830681690041
0.2713833765930092,0.15595820013369202,1.4906246977785893
0.18195261492297854,0.10456426141223521,1.4908583144218797
0.09301110742820552,0.053451486561384556,1.4800812490269641
0.005575011502483927,0.0032038394192285304,1.4584166296472443
-0.07935671479892116,-0.04560460026674042,1.4261119747224957
-0.1608137258625868,-0.09241619570506904,1.3835363651788286
-0.23786537472288216,-0.13669612406489054,1.3311762276763204
-0.3096313457105686,-0.1779384868308001,1.2696297771807608
-0.37529171206595924,-0.2156720896972084,1.199600182353154
-0.43409630360832996,-0.24946582596683567,1.121887531842464
-0.48537327743589187,-0.27893360194797867,1.0373796932667705
-0.5285367937360099,-0.30373874807785073,0.9470421693190343
-0.5630937090094801,-0.32359786537487434,0.8519070668915496
-0.5886492102387255,-0.33828406327418276,0.753061305246919
-0.6049113256295003,-0.3476295518540348,0.651634197957281
-0.6116942603908401,-0.3515275588369357,0.5487845504882334
-0.6089205194419496,-0.349933549463713,0.44568742083764984
-0.5966217927940854,-0.3428657353034754,0.3435206944891943
-0.5749385934919382,-0.3304048661862986,0.2434516270617881
-0.5441186522510375,-0.3126933076358077,0.1466235084053637
-0.5045140871324596,-0.2899334143419967,0.05414260050570377
-0.45657738059132236,-0.2623852182573685,-0.032934501567082816
-0.40085620986132664,-0.2303634577299178,-0.11361294126520895
-0.33798718973822967,-0.19423398161513195,-0.18697096680676417
-0.26868859925100264,-0.15440956945005707,-0.252170462196779
-0.19375217531850997,-0.11134521544397633,-0.3084665227087847
-0.11403406714924007,-0.06553293016613684,-0.3552159654269298
-0.030445054730142695,-0.017496119321286207,-0.39188467761564405
0.0560598568415889,0.03221639616445038,-0.4180537189616704
0.14449234829895552,0.08303665042679001,-0.4334241079703022
0.23384207776022944,0.13438402167757407,-0.4378202378312147
0.9627307288673068,0.553260680784861,0.12766816308544665
0.997694527097753,0.5733536249817917,0.2226052951978208
1.0236729075634279,0.5882828424993809,0.3213043066397593
1.04036906707162,0.5978777669149165,0.4226375604612956
1.0475922518740513,0.6020287761445997,0.5254473234734132
1.0452599370298867,0.600688444876681,0.6285589933584586
1.033398769253808,0.593872086406003,0.7307945185104808
1.012144262477097,0.5816575776794923,0.8309858572837073
0.9817392495999465,0.564184469551453,0.9279883228771595
0.9425311081237482,0.541652392414004,1.0206936613899829
0.8949677913605179,0.5143187754183446,1.1080427136306221
0.8395927105629265,0.4824959053447597,1.1890375160185704
0.7770385264466451,0.44654735872380147,1.2627527023258018
0.7080199210368923,0.4068838479716849,1.3283460759929056
0.633325432420911,0.3639585289978363,1.3850682322311267
0.5538084456943748,0.31826182389521174,1.4322711199777292
0.4703774430302336,0.27031581786418535,1.4694154458842728
0.3839856242630384,0.22066829438519955,1.4960768357471887
0.2956200165736439,0.16988647678836993,1.5119506829862515
0.20629019769622445,0.11855054772266196,1.516855628777058
0.117016761485048,0.06724702056475093,1.5107356340769624
0.02881965762199503,0.016562038499271105,1.4936606198715618
-0.05729346131624616,-0.032925322171487845,1.4658256683269069
-0.14033875229646836,-0.0806496679787019,1.4275487939742852
-0.21936742224301803,-0.12606574791165748,1.3792673103918038
-0.2934765680058382,-0.16865468291465932,1.321532833893459
-0.36181949203576685,-0.20792989408415546,1.2550049813085935
-0.4236153759104211,-0.24344266183637892,1.1804438338546441
-0.47815820119055963,-0.27478725253197556,1.098701253203501
-0.5248248156860751,-0.3016055539858935,1.0107111489554865
-0.5630820529744661,-0.323591166901798,0.9174788087151257
-0.5924928238312331,-0.34049290548634176,0.8200694126726842
-0.6127211099775649,-0.3521176672487484,0.7195958639124649
-0.6235358030917078,-0.35833263919822556,0.6172060734866763
-0.6248133452232844,-0.35906681523338646,0.5140698455230062
-0.616539140443808,-0.3543118073874933,0.4113655122036399
-0.598807721605276,-0.3441219416610407,0.3102664713111955
-0.5718216703016227,-0.32861363734679017,0.2119277801502085
-0.5358893023724812,-0.3079640769384728,0.1174729590087193
-0.49142114539239135,-0.28240918181946223,0.027981154930506846
-0.43892524839016256,-0.25224091685919,-0.05552518754801959
-0.37900137738489265,-0.2178039547123118,-0.13209200783436248
-0.3123341630546742,-0.1794917379310288,-0.2008445294293951
-0.23968527882593527,-0.1377419838809608,-0.26099725425546466
-0.16188473874879988,-0.0930316838169452,-0.31186293697785084
-0.0798214145803062,-0.04587165325435225,-0.3528604367878964
0.005567119582121083,0.0031993041020294405,-0.3835213569411291
0.0933052990918017,0.05362055219438239,-0.4034953961935986
0.1823907145862459,0.10481602788304886,-0.41255435099623095
0.27180556452167887,0.1562008224722452,-0.41059472272209674
0.9691113162706751,0.5569274673792272,0.20560029305474387
0.9989387698140704,0.5740686645579163,0.30284099966118827
1.0195969692297941,0.585940488246332,0.403198118223521
1.0308498944337483,0.5924073027693146,0.505525067905422
1.0325689806706249,0.5933952247221761,0.6086527625351769
1.0247345873672047,0.5888929670891551,0.7114029674240038
1.0074362225260547,0.5789519681976587,0.8126017607062587
0.9808715200959237,0.5636858040349824,0.9110929454055988
0.9453439820023882,0.5432688906417993,1.00575125899416
0.9012595106360621,0.5179344914075811,1.0954952295254192
0.8491217714147263,0.48797205203461325,1.179299531459341
0.7895264384021298,0.45372389361866433,1.2562067000144022
0.7231543887273224,0.4155813016278857,1.3253380702099409
0.6507639235583178,0.37398005546338675,1.3859038156201855
0.5731821045055338,0.3293954496762921,1.4372119721471281
0.4912953044366563,0.2823368637239107,1.478676343715557
0.4060390806599415,0.2333419423055948,1.5098231995676406
0.3183874861749143,0.18297045276799573,1.530296686640405
0.2293419411095053,0.131797889758908,1.539862895189663
0.1399197914875367,0.08040890019657829,1.5384125312106047
0.051142686042729105,0.029390603674256107,1.5259621651226285
-0.03597509612578526,-0.020674115385586746,1.5026540424521708
-0.12043823369981678,-0.06921326719017706,1.4687544586764973
-0.20128173469568617,-0.11567229156413684,1.4246507167958655
-0.27758196150491377,-0.1595203938036686,1.3708467023938273
-0.3484671834608604,-0.20025660901004785,1.307957126740636
-0.41312753636816757,-0.23741552561736937,1.2367005037123495
-0.47082427520729697,-0.27057260272319716,1.1578909407643785
-0.5208982143019476,-0.2993490204715752,1.0724288377476676
-0.5627772585203794,-0.32341600807273907,0.9812905998336133
-0.5959829394666072,-0.3424986000118679,0.885517482077613
-0.6201358819854321,-0.3563787775321644,0.7862036930722078
-0.6349601385264507,-0.3648979595007955,0.6844838936056628
-0.6402863418468994,-0.36795881419953025,0.581520233153903
-0.636053640033679,-0.3655263713403555,0.4784890723139905
-0.6223103917369233,-0.3576284216012789,0.3765675428754296
-0.5992136136720536,-0.34435519911762424,0.2769200990805972
-0.5670271867026224,-0.32585835055635437,0.18068521372624285
-0.5261188409994585,-0.3023492025517575,0.08896237110320239
-0.47695595472069097,-0.27409634729705773,0.0027995053800808772
-0.42010021421276766,-0.24142257387658073,-0.076818972052521
-0.35620119673971384,-0.20470118039803292,-0.14898341948957244
-0.2859889490579919,-0.1643517090588057,-0.21286935757494552
-0.21026564662680178,-0.12083515287320534,-0.26774688898428217
-0.1298964287474135,-0.07464868882379008,-0.3129890375074259
-0.04579951434012482,-0.02631999761059456,-0.3480789112563504
0.04106428871382666,0.023598765104847073,-0.37261560815887784
0.12970256080955092,0.07453727708209736,-0.3863187962678775
0.21910260901997536,0.125913565437713,-0.3890319165558749
0.3082430371201728,0.17714065568982718,-0.38072397160312116
0.9713179534526586,0.558195574392894,0.2838377313949719
0.9958957960845802,0.5723199328859055,0.3830127524216602
1.0111553673831981,0.5810892808998527,0.48464688382502014
1.0169223266313598,0.5844034285675506,0.5875789548873934
1.0131307862761703,0.5822245117269054,0.6906329659207311
0.9998240646947767,0.5745774245192519,0.7926315240718956
0.9771541912815872,0.5615495349736,0.8924092950448889
0.9453801695112894,0.5432896868262467,0.9888263170539664
0.904865017822202,0.5200064989799636,1.0807810248956407
0.8560716221278776,0.49196598203146225,1.1672228353394334
0.7995574473420526,0.4594884990983192,1.247164150049209
0.7359681683378003,0.42294510566794274,1.3196916389016078
0.6660302931072417,0.3827533102858317,1.383976674789597
0.5905428624022535,0.33937230451729317,1.4392848006934131
0.5103683206878544,0.2932977166803483,1.4849841208575523
0.4264226627076902,0.24505594928846103,1.5205525202045436
0.33966496823717807,0.19519816489785158,1.5455836295036427
0.2510864445898416,0.1442939890711361,1.5597914681423601
0.16169910206628002,0.09292500240097915,1.5630137114571139
0.07252419172885258,0.04167809594743624,1.555213545293735
-0.01541946239941036,-0.008861233996832467,1.5364800866094581
-0.10112710340695286,-0.05811557520612107,1.5070273653110113
-0.18361952084898261,-0.10552219646070958,1.4671918789613174
-0.26195423823418873,-0.15053947675529367,1.417428748292302
-0.3352362808257608,-0.1926530933230542,1.3583065174470998
-0.40262840073450495,-0.23138189777714557,1.290500658358929
-0.46336064248229214,-0.2662834132346445,1.214785853479163
-0.5167391397492014,-0.29695888961827355,1.132027145024483
-0.5621540428014562,-0.32305785937904036,1.0431700518630267
-0.5990864860292322,-0.3442821415906285,0.9492297669541939
