roll,pitch,yaw,joint_angles,total_torque
30.0,57.0,30.0,"[0.27559814157140694, 24.229484870514604, -28.97935535644599, 10.55082210369159, -23.837271017132124, 6.043733861683875]",38.69589355777115
31.0,57.0,30.0,"[0.3413158095556067, 24.22416736836136, -29.00217923910119, 13.158998550992555, -23.738906374369964, 3.62513448090403]",38.70040194422412
29.0,57.0,30.0,"[0.210141765574438, 24.237396433799518, -28.96099804734222, 7.981128108790525, -23.977550248221277, 8.42349218042441]",38.69025696073265
30.0,58.0,30.0,"[0.25962152646403847, 24.176018991569023, -28.987861942807676, 10.315061012972789, -22.91196621954995, 5.763344198159546]",38.68856700072164
30.0,58.0,30.0,"[0.25962152646403847, 24.176018991569023, -28.987861942807676, 10.315061012972789, -22.91196621954995, 5.763344198159546]",38.68856700072164
31.0,58.0,30.0,"[0.3254865087237383, 24.171249890708886, -29.01058643674847, 13.023097497248157, -22.819858023156733, 3.2371248470160126]",38.69299700615459
29.0,58.0,30.0,"[0.19423445668436384, 24.183401674317068, -28.969635243090156, 7.6552307373681225, -23.04801536770477, 8.24099276059468]",38.68293065440681
30.0,59.0,30.0,"[0.24405409413942303, 24.124528625618478, -28.999895147886722, 10.081490164197893, -21.984789765798457, 5.482220425104343]",38.68140518666654
30.0,59.0,30.0,"[0.24405409413942303, 24.124528625618478, -28.999895147886722, 10.081490164197893, -21.984789765798457, 5.482220425104343]",38.68140518666654
31.0,59.0,30.0,"[0.30999929783192165, 24.120285237852748, -29.02245784384212, 12.895538584164399, -21.89901625587864, 2.8422317366125474]",38.685735804446445
29.0,59.0,30.0,"[0.17880284894547568, 24.131400912948255, -28.98184251325814, 7.3260469588632615, -22.116635281984085, 8.063233037519025]",38.67577955761905
30.0,60.0,30.0,"[0.22889915407820352, 24.07503302555312, -29.01545227325766, 9.85013190333851, -21.055776493064652, 5.200280502168083]",38.67440947791855
30.0,60.0,30.0,"[0.22889915407820352, 24.07503302555312, -29.01545227325766, 9.85013190333851, -21.055776493064652, 5.200280502168083]",38.67440947791855
31.0,60.0,30.0,"[0.2948918755349806, 24.07129381466104, -29.037804921338665, 12.778708035572974, -20.97644541379499, 2.4380053526576746]",38.678620009044344
29.0,60.0,30.0,"[0.1638630246883995, 24.081413495867082, -28.997618193473095, 6.993382276574277, -21.183447068829338, 7.890346639813464]",38.66880652778541
30.0,61.0,30.0,"[0.21415859153438666, 24.02755099125856, -29.03452962825831, 9.620962356169164, -20.124960933124658, 4.917488798007523]",38.66758106381201
30.0,61.0,30.0,"[0.21415859153438666, 24.02755099125856, -29.03452962825831, 9.620962356169164, -20.124960933124658, 4.917488798007523]",38.66758106381201
31.0,61.0,30.0,"[0.2801584252955954, 24.024293670141624, -29.05662066662297, 12.673443631031171, -20.05218455762752, 2.0235490969386225]",38.671647891934796
29.0,61.0,30.0,"[0.14943283618937755, 24.03345829938536, -29.016959895998106, 6.657093334694635, -20.248487662471312, 7.722415891614945]",38.66201457142412
30.0,62.0,30.0,"[0.19983319975324665, 23.98210086977781, -29.05712267886754, 9.393916758125595, -19.19237731560998, 4.633850710200186]",38.660920997381375
30.0,62.0,30.0,"[0.19983319975324665, 23.98210086977781, -29.05712267886754, 9.393916758125595, -19.19237731560998, 4.633850710200186]",38.660920997381375
31.0,62.0,30.0,"[0.26578979396774266, 23.979302259999915, -29.078896356939648, 12.580609138551273, -19.12627053865332, 1.5979407695291181]",38.66481709332964
29.0,62.0,30.0,"[0.13553219533626415, 23.98755371523357, -29.039864487962266, 6.317113455368493, -19.31179368500031, 7.559446221419649]",38.65540687755827
30.0,63.0,30.0,"[0.18592245752657388, 23.938700545033203, -29.08322603666016, 9.168868498705068, -18.258059419163786, 4.349433629228593]",38.654430186956326
30.0,62.0,31.0,"[0.139457042306623, 23.97496792218719, -29.04834283085606, 6.588392580610933, -19.046549478027003, 7.709698191223383]",38.654419683237535
30.0,62.0,31.0,"[0.139457042306623, 23.97496792218719, -29.04834283085606, 6.588392580610933, -19.046549478027003, 7.709698191223383]",38.654419683237535
31.0,62.0,31.0,"[0.2036983083886207, 23.969473879824978, -29.066303928447617, 9.709047956935427, -18.92449937956879, 4.737968516782084]",38.659661029989245
29.0,62.0,31.0,"[0.0718827923504919, 23.983311952356054, -29.03393306343566, 3.359901772161947, -19.22594702749511, 10.789435907760605]",38.64701850779477
30.0,62.0,32.0,"[0.07587139975565164, 23.9705533489083, -29.04221150294409, 3.595245518096148, -18.955955313866028, 10.973419622939623]",38.64621073811854
30.0,62.0,32.0,"[0.07587139975565164, 23.9705533489083, -29.04221150294409, 3.595245518096148, -18.955955313866028, 10.973419622939623]",38.64621073811854
31.0,62.0,32.0,"[0.14312627442179998, 23.962183837820046, -29.057329251559633, 6.857852423263488, -18.77336172018436, 7.8572505885794754]",38.653347393298276
29.0,62.0,32.0,"[0.009970943422438058, 23.981591355978775, -29.03160119973079, 0.46537880677468596, -19.191020493655394, 13.956459409008128]",38.63740855758183
30.0,62.0,33.0,"[0.013902509597425044, 23.96866532226225, -29.039662851018726, 0.6583329393155255, -18.917084819956912, 14.180637164115842]",38.636717242357605
30.0,62.0,33.0,"[0.013902509597425044, 23.96866532226225, -29.039662851018726, 0.6583329393155255, -18.917084819956912, 14.180637164115842]",38.636717242357605
31.0,62.0,33.0,"[0.07961716447674819, 23.957606731309905, -29.051017117376603, 3.8271552618133935, -18.678058408040588, 11.156256233742274]",38.6453244698177
29.0,62.0,33.0,"[-0.05195819778057106, 23.98245915527637, -29.032539560964604, -2.433228895255812, -19.208803877017885, 17.127555754827775]",38.64410591884056
30.0,63.0,33.0,"[-0.0004832047868885161, 23.927032125495643, -29.06812614962703, -0.02606064832464287, -18.007022760092788, 14.333714314298648]",38.630108533016234
30.0,63.0,33.0,"[-0.0004832047868885161, 23.927032125495643, -29.06812614962703, -0.02606064832464287, -18.007022760092788, 14.333714314298648]",38.630108533016234
31.0,63.0,33.0,"[0.06514209556133155, 23.91643067163111, -29.079283806467114, 3.2854826574648546, -17.76675887112065, 11.159088262156239]",38.63888773169828
30.0,64.0,33.0,"[-0.01800249036451025, 23.887616502402032, -29.100231689371263, -0.9419637040113531, -17.10118928142911, 14.719865707601954]",38.62873802658062
30.0,64.0,33.0,"[-0.01800249036451025, 23.887616502402032, -29.100231689371263, -0.9419637040113531, -17.10118928142911, 14.719865707601954]",38.62873802658062
31.0,64.0,33.0,"[0.05127344790197406, 23.877237955022206, -29.110940716625965, 2.720788339868749, -16.854156770722675, 11.186107147894244]",38.63261512564846
30.0,65.0,33.0,"[-0.03196638867123713, 23.850056283354274, -29.135615674887745, -1.7640433811425846, -16.19151206074105, 15.012998319121088]",38.62673864676868
30.0,65.0,33.0,"[-0.03196638867123713, 23.850056283354274, -29.135615674887745, -1.7640433811425846, -16.19151206074105, 15.012998319121088]",38.62673864676868
31.0,65.0,33.0,"[0.03805275921870962, 23.8400431110726, -29.14597776808995, 2.130841560639844, -15.940314013698243, 11.239478887189033]",38.62650729256918
30.0,66.0,33.0,"[-0.045383166400603706, 23.81453525269126, -29.17440805088846, -2.65018889659652, -15.281931257312255, 15.371255362198806]",38.62458716334519
30.0,66.0,33.0,"[-0.045383166400603706, 23.81453525269126, -29.17440805088846, -2.65018889659652, -15.281931257312255, 15.371255362198806]",38.62458716334519
31.0,66.0,33.0,"[0.021936138851945255, 23.804990718548098, -29.184301827861216, 1.3015105674025074, -15.028772911639406, 11.533646557867526]",38.62002136959539
31.0,66.0,33.0,"[0.021936138851945255, 23.804990718548098, -29.184301827861216, 1.3015105674025074, -15.028772911639406, 11.533646557867526]",38.62002136959539
32.0,66.0,33.0,"[0.09002260821787574, 23.798267034281558, -29.198670727026236, 5.41349579419665, -14.845262455881247, 7.535498801657426]",38.628042042234874
31.0,67.0,33.0,"[0.009178565834299475, 23.771875236179987, -29.22610113282666, 0.5789395931840388, -14.114036861863793, 11.72175098695761]",38.61406097870951
31.0,67.0,33.0,"[0.009178565834299475, 23.771875236179987, -29.22610113282666, 0.5789395931840388, -14.114036861863793, 11.72175098695761]",38.61406097870951
32.0,67.0,33.0,"[0.07764151699347675, 23.765509765505907, -29.240081255831342, 4.96798711683028, -13.929462492682232, 7.438948158660476]",38.62249353074669
30.0,67.0,33.0,"[-0.05822776696137999, 23.781067697440545, -29.21659437458249, -3.611575576042996, -14.372782742183729, 15.805749050994953]",38.62223890581252
31.0,68.0,33.0,"[-0.003007504512817579, 23.740808362838933, -29.271259797439676, -0.2029041863654085, -13.198773187625935, 11.970055563894475]",38.60922769196718
31.0,68.0,33.0,"[-0.003007504512817579, 23.740808362838933, -29.271259797439676, -0.2029041863654085, -13.198773187625935, 11.970055563894475]",38.60922769196718
32.0,68.0,33.0,"[0.06588890349117624, 23.734779713663062, -29.284829894260483, 4.506333838871303, -13.012270869686459, 7.3594549585721065]",38.61713444795127
31.0,69.0,33.0,"[-0.014584872464386887, 23.7118030356392, -29.319762361752023, -1.0552511957964499, -12.28320351721329, 12.289725908936367]",38.60739231529721
31.0,69.0,33.0,"[-0.014584872464386887, 23.7118030356392, -29.319762361752023, -1.0552511957964499, -12.28320351721329, 12.289725908936367]",38.60739231529721
32.0,69.0,33.0,"[0.054812840209991616, 23.706090277466917, -29.332908235029446, 4.027754663668211, -12.093730465553676, 7.297734375305486]",38.61196939171867
31.0,70.0,33.0,"[-0.02549799865649729, 23.68487071077348, -29.371587753106592, -1.9915303791381445, -11.367577254753362, 12.69412391193077]",38.605377834369904
31.0,70.0,33.0,"[-0.02549799865649729, 23.68487071077348, -29.371587753106592, -1.9915303791381445, -11.367577254753362, 12.69412391193077]",38.605377834369904
32.0,70.0,33.0,"[0.04447510627539982, 23.6794541176187, -29.384306908040756, 3.532301291226396, -11.173877673896323, 7.253666827444766]",38.60700422975506
31.0,71.0,33.0,"[-0.0356618095433465, 23.660020707737036, -29.426705785622254, -3.0274099275762305, -10.452160698065148, 13.198847149761988]",38.60311592574523
31.0,71.0,33.0,"[-0.0356618095433465, 23.660020707737036, -29.426705785622254, -3.0274099275762305, -10.452160698065148, 13.198847149761988]",38.60311592574523
32.0,71.0,33.0,"[0.03124783545421741, 23.654931774274882, -29.438677145476483, 2.701198710440248, -10.254753870858686, 7.546357036491057]",38.601804565128816
31.0,72.0,33.0,"[-0.04494359942313538, 23.637259186005394, -29.4850715500459, -4.180248978903172, -9.537205363385016, 13.821178473994214]",38.600511808140745
31.0,72.0,33.0,"[-0.04494359942313538, 23.637259186005394, -29.4850715500459, -4.180248978903172, -9.537205363385016, 13.821178473994214]",38.600511808140745
32.0,72.0,33.0,"[0.021457258531021418, 23.632455475967298, -29.496619166296473, 2.035563618463699, -9.333327015451054, 7.673947054081506]",38.597092444986636
32.0,72.0,33.0,"[0.021457258531021418, 23.632455475967298, -29.496619166296473, 2.035563618463699, -9.333327015451054, 7.673947054081506]",38.597092444986636
33.0,72.0,33.0,"[0.08758120510431722, 23.630454366221475, -29.51171563725516, 8.418472423372656, -9.243453414243227, 1.3595209215715025]",38.60135749566006
32.0,73.0,33.0,"[0.01241712014412698, 23.612070161611108, -29.55783629872936, 1.3054075555426103, -8.411029273464566, 7.8666514980733435]",38.59254674642129
32.0,73.0,33.0,"[0.01241712014412698, 23.612070161611108, -29.55783629872936, 1.3054075555426103, -8.411029273464566, 7.8666514980733435]",38.59254674642129
